category_id,category,month,rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
4,纯电动,2026-06,17,6762,海鸥,シーガル (Seagull),9825,6.98-8.59万,https://www.autohome.com.cn/6762/#pvareaid=6861512,public/autohome_energy/guochan/images/4/17_16_海鸥.png,https://www.autohome.com.cn/6762/#pvareaid=6861512,比亚迪,BYD
4,纯电动,2026-06,18,4427,蔚来ES8,NIO ES8,8966,38.28-44.68万,https://www.autohome.com.cn/4427/#pvareaid=6861512,public/autohome_energy/guochan/images/4/18_17_蔚来ES8.png,https://www.autohome.com.cn/4427/#pvareaid=6861512,蔚来,蔚来
4,纯电动,2026-06,19,8509,蔚来ES9,蔚来ES9,8595,49.80-62.80万,https://www.autohome.com.cn/8509/#pvareaid=6861512,public/autohome_energy/guochan/images/4/19_18_蔚来ES9.png,https://www.autohome.com.cn/8509/#pvareaid=6861512,蔚来,蔚来
4,纯电动,2026-06,20,8511,宋Ultra,宋Ultra,8198,12.99-17.99万,https://www.autohome.com.cn/8511/#pvareaid=6861512,public/autohome_energy/guochan/images/4/20_19_宋Ultra.png,https://www.autohome.com.cn/8511/#pvareaid=6861512,比亚迪,BYD
4,纯电动,2026-06,21,8245,AION i60,AION i60,8154,10.28-13.58万,https://www.autohome.com.cn/8245/#pvareaid=6861512,public/autohome_energy/guochan/images/4/21_20_AION_i60.png,https://www.autohome.com.cn/8245/#pvareaid=6861512,埃安,埃安
4,纯电动,2026-06,22,8244,深蓝L06,Deepal L06,7977,12.59-15.69万,https://www.autohome.com.cn/8244/#pvareaid=6861512,public/autohome_energy/guochan/images/4/22_21_深蓝L06.png,https://www.autohome.com.cn/8244/#pvareaid=6861512,深蓝汽车,Deepal（深藍）
4,纯电动,2026-06,23,8010,极氪007GT,极氪007GT,7837,20.29-26.29万,https://www.autohome.com.cn/8010/#pvareaid=6861512,public/autohome_energy/guochan/images/4/23_22_极氪007GT.png,https://www.autohome.com.cn/8010/#pvareaid=6861512,极氪,极氪
4,纯电动,2026-06,24,8190,极狐贝塔S3,极狐贝塔S3,7790,8.48-12.58万,https://www.autohome.com.cn/8190/#pvareaid=6861512,public/autohome_energy/guochan/images/4/24_23_极狐贝塔S3.png,https://www.autohome.com.cn/8190/#pvareaid=6861512,ARCFOX极狐,ARCFOX（極狐）
4,纯电动,2026-06,25,7982,海狮05 EV,シーライオン05 EV (Sealion 05 EV),7753,11.78-14.59万,https://www.autohome.com.cn/7982/#pvareaid=6861512,public/autohome_energy/guochan/images/4/25_24_海狮05_EV.png,https://www.autohome.com.cn/7982/#pvareaid=6861512,比亚迪,BYD
4,纯电动,2026-06,26,8086,极狐贝塔T1,极狐贝塔T1,7431,6.28-13.08万,https://www.autohome.com.cn/8086/#pvareaid=6861512,public/autohome_energy/guochan/images/4/26_25_极狐贝塔T1.png,https://www.autohome.com.cn/8086/#pvareaid=6861512,ARCFOX极狐,ARCFOX（極狐）
4,纯电动,2026-06,27,8529,问界M6,AITO M6,7353,22.98-29.98万,https://www.autohome.com.cn/8529/#pvareaid=6861512,public/autohome_energy/guochan/images/4/27_26_问界M6.png,https://www.autohome.com.cn/8529/#pvareaid=6861512,AITO 问界,AITO（問界）
4,纯电动,2026-06,28,7990,firefly萤火虫,firefly,6914,11.98-12.58万,https://www.autohome.com.cn/7990/#pvareaid=6861512,public/autohome_energy/guochan/images/4/28_27_firefly萤火虫.png,https://www.autohome.com.cn/7990/#pvareaid=6861512,firefly萤火虫,firefly萤火虫
4,纯电动,2026-06,29,7650,银河E5,Galaxy E5,6897,10.98-17.98万,https://www.autohome.com.cn/7650/#pvareaid=6861512,public/autohome_energy/guochan/images/4/29_28_银河E5.png,https://www.autohome.com.cn/7650/#pvareaid=6861512,吉利银河,Geely Galaxy（吉利銀河）
4,纯电动,2026-06,30,8140,长安启源A06,Qiyuan A06,6326,10.99-14.99万,https://www.autohome.com.cn/8140/#pvareaid=6861512,public/autohome_energy/guochan/images/4/30_29_长安启源A06.png,https://www.autohome.com.cn/8140/#pvareaid=6861512,长安启源,長安啓源
4,纯电动,2026-06,31,8508,尚界Z7,尚界Z7,6296,21.98-29.98万,https://www.autohome.com.cn/8508/#pvareaid=6861512,public/autohome_energy/guochan/images/4/31_30_尚界Z7.png,https://www.autohome.com.cn/8508/#pvareaid=6861512,尚界,尚界
4,纯电动,2026-06,32,5205,零跑C11,C11,6112,14.38-16.58万,https://www.autohome.com.cn/5205/#pvareaid=6861512,public/autohome_energy/guochan/images/4/32_31_零跑C11.png,https://www.autohome.com.cn/5205/#pvareaid=6861512,零跑汽车,Leapmotor
4,纯电动,2026-06,33,8026,纳米06,Nami 06,5938,8.99-14.98万,https://www.autohome.com.cn/8026/#pvareaid=6861512,public/autohome_energy/guochan/images/4/33_32_纳米06.png,https://www.autohome.com.cn/8026/#pvareaid=6861512,东风奕派,東風奕派
