rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
72,7873.0,别克至境世家,Envista Estate,1482.0,41.99-48.99万,https://www.autohome.com.cn/7873/#pvareaid=6861512,public/autohome_images/72_71_别克至境世家.png,https://www.autohome.com.cn/7873/#pvareaid=6861512,别克,Buick
73,7817.0,奥迪A5L Sportback,A5L Sportback,1420.0,27.99-39.99万,https://www.autohome.com.cn/7817/#pvareaid=6861512,public/autohome_images/73_72_奥迪A5L_Sportback.png,https://www.autohome.com.cn/7817/#pvareaid=6861512,奥迪,Audi
74,692.0,奥迪A4L,A4L,1410.0,28.98-36.28万,https://www.autohome.com.cn/692/#pvareaid=6861512,public/autohome_images/74_73_奥迪A4L.png,https://www.autohome.com.cn/692/#pvareaid=6861512,奥迪,Audi
75,135.0,思域,シビック,1400.0,9.79-17.99万,https://www.autohome.com.cn/135/#pvareaid=6861512,public/autohome_images/75_74_思域.png,https://www.autohome.com.cn/135/#pvareaid=6861512,本田,ホンダ
76,6853.0,狮铂拓界,Explorer,1363.0,15.49-23.78万,https://www.autohome.com.cn/6853/#pvareaid=6861512,public/autohome_images/76_75_狮铂拓界.png,https://www.autohome.com.cn/6853/#pvareaid=6861512,起亚,Kia
77,117.0,蒙迪欧,モンデオ (Mondeo),1355.0,14.98-22.98万,https://www.autohome.com.cn/117/#pvareaid=6861512,public/autohome_images/77_76_蒙迪欧.png,https://www.autohome.com.cn/117/#pvareaid=6861512,福特,Ford
78,6903.0,丰田bZ3,Toyota bZ3,1346.0,10.98-19.98万,https://www.autohome.com.cn/6903/#pvareaid=6861512,public/autohome_images/78_77_丰田bZ3.png,https://www.autohome.com.cn/6903/#pvareaid=6861512,丰田,トヨタ
79,3615.0,锐界,エッジ (Edge),1336.0,22.98-30.98万,https://www.autohome.com.cn/3615/#pvareaid=6861512,public/autohome_images/79_78_锐界.png,https://www.autohome.com.cn/3615/#pvareaid=6861512,福特,Ford
80,6544.0,宝马i3,i3,1276.0,27.80-33.80万,https://www.autohome.com.cn/6544/#pvareaid=6861512,public/autohome_images/80_79_宝马i3.png,https://www.autohome.com.cn/6544/#pvareaid=6861512,宝马,BMW
81,46.0,普拉多,ランドクルーザープラド,1267.0,44.98-55.98万,https://www.autohome.com.cn/46/#pvareaid=6861512,public/autohome_images/81_80_普拉多.png,https://www.autohome.com.cn/46/#pvareaid=6861512,丰田,トヨタ
82,5193.0,捷达VS7,捷达VS7,1204.0,9.79-12.09万,https://www.autohome.com.cn/5193/#pvareaid=6861512,public/autohome_images/82_81_捷达VS7.png,https://www.autohome.com.cn/5193/#pvareaid=6861512,捷达,Jetta
83,6118.0,库斯途,クストス (Custo),1187.0,16.98-22.08万,https://www.autohome.com.cn/6118/#pvareaid=6861512,public/autohome_images/83_82_库斯途.png,https://www.autohome.com.cn/6118/#pvareaid=6861512,现代,Hyundai
84,3457.0,凌渡,ラモンド (Lamando),1180.0,15.09-19.59万,https://www.autohome.com.cn/3457/#pvareaid=6861512,public/autohome_images/84_83_凌渡.png,https://www.autohome.com.cn/3457/#pvareaid=6861512,大众,Volkswagen
85,871.0,高尔夫,ゴルフ (Golf),1179.0,12.99-15.89万,https://www.autohome.com.cn/871/#pvareaid=6861512,public/autohome_images/85_84_高尔夫.png,https://www.autohome.com.cn/871/#pvareaid=6861512,大众,Volkswagen
86,2886.0,起亚K3,K3,1137.0,11.29-14.39万,https://www.autohome.com.cn/2886/#pvareaid=6861512,public/autohome_images/86_85_起亚K3.png,https://www.autohome.com.cn/2886/#pvareaid=6861512,起亚,Kia
