category_id,category,month,rank,series_id,name,units,price,link,image_url,series_url,manufacturer
1,燃油车,2025-11,47,4099,瑞虎3x,1551.0,5.79-6.99万,https://www.autohome.com.cn/4099/#pvareaid=6861512,public/autohome_energy/guochan/images/1/47_46_瑞虎3x.png,https://www.autohome.com.cn/4099/#pvareaid=6861512,奇瑞
1,燃油车,2025-11,48,6460,红旗H6,1489.0,17.98-23.98万,https://www.autohome.com.cn/6460/#pvareaid=6861512,public/autohome_energy/guochan/images/1/48_47_红旗H6.png,https://www.autohome.com.cn/6460/#pvareaid=6861512,红旗
1,燃油车,2025-11,49,6841,凯翼昆仑,1481.0,9.89-13.89万,https://www.autohome.com.cn/6841/#pvareaid=6861512,public/autohome_energy/guochan/images/1/49_48_凯翼昆仑.png,https://www.autohome.com.cn/6841/#pvareaid=6861512,凯翼
1,燃油车,2025-11,50,2451,五菱荣光,1414.0,5.10-5.76万,https://www.autohome.com.cn/2451/#pvareaid=6861512,public/autohome_energy/guochan/images/1/50_49_五菱荣光.png,https://www.autohome.com.cn/2451/#pvareaid=6861512,五菱汽车
456,新能源,2025-11,1,5714,宏光MINIEV,56756.0,3.58-5.58万,https://www.autohome.com.cn/5714/#pvareaid=6861512,public/autohome_energy/guochan/images/456/1_0_宏光MINIEV.png,https://www.autohome.com.cn/5714/#pvareaid=6861512,五菱汽车
456,新能源,2025-11,2,7806,星愿,42038.0,6.88-8.78万,https://www.autohome.com.cn/7806/#pvareaid=6861512,public/autohome_energy/guochan/images/456/2_1_星愿.png,https://www.autohome.com.cn/7806/#pvareaid=6861512,吉利银河
456,新能源,2025-11,3,5964,秦PLUS,35368.0,7.98-17.98万,https://www.autohome.com.cn/5964/#pvareaid=6861512,public/autohome_energy/guochan/images/456/3_2_秦PLUS.png,https://www.autohome.com.cn/5964/#pvareaid=6861512,比亚迪
456,新能源,2025-11,4,7793,小米YU7,33729.0,23.35-38.99万,https://www.autohome.com.cn/7793/#pvareaid=6861512,public/autohome_energy/guochan/images/456/4_3_小米YU7.png,https://www.autohome.com.cn/7793/#pvareaid=6861512,小米汽车
456,新能源,2025-11,5,6643,问界M7,25264.0,24.98-38.98万,https://www.autohome.com.cn/6643/#pvareaid=6861512,public/autohome_energy/guochan/images/456/5_4_问界M7.png,https://www.autohome.com.cn/6643/#pvareaid=6861512,AITO 问界
456,新能源,2025-11,6,8087,海狮06,25093.0,13.98-19.98万,https://www.autohome.com.cn/8087/#pvareaid=6861512,public/autohome_energy/guochan/images/456/6_5_海狮06.png,https://www.autohome.com.cn/8087/#pvareaid=6861512,比亚迪
